Variable:,tas
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1901,-5.08,0.56,0.97,-2.38,4.07,-1.06,-9.08,6.19,-14.39,0.03,6.00,-2.82,-0.31,-6.68
1902,-5.42,-0.20,0.54,-2.66,4.07,-1.25,-9.62,6.03,-14.73,0.18,5.79,-2.85,-1.15,-7.19
1903,-5.50,-0.03,0.71,-3.22,3.64,-2.26,-9.13,5.29,-14.65,-0.45,4.90,-3.18,-1.34,-6.77
1904,-5.83,0.14,0.97,-3.46,2.22,-2.70,-9.36,4.18,-14.76,-1.46,3.87,-4.00,-1.52,-7.20
1905,-5.01,0.93,1.62,-2.43,2.87,-2.27,-8.22,4.67,-14.31,-0.45,4.37,-3.49,-0.21,-5.33
1906,-5.08,0.67,1.41,-2.17,3.78,-1.78,-9.06,5.69,-14.56,0.34,5.43,-2.98,-0.31,-6.68
1907,-6.10,-0.80,0.32,-3.73,2.70,-2.66,-10.07,4.56,-15.05,-1.22,4.23,-3.76,-2.11,-7.05
1908,-5.28,0.38,0.70,-2.50,3.72,-1.59,-9.53,5.62,-14.48,0.31,5.32,-3.11,-0.58,-6.73
1909,-5.93,-1.13,-0.53,-3.05,3.78,-1.41,-10.41,5.81,-14.88,-0.24,5.51,-3.04,-1.63,-8.42
1910,-5.12,0.70,0.92,-2.17,4.14,-1.46,-9.33,6.18,-14.39,0.25,5.83,-2.90,-0.17,-7.14
1911,-5.73,-0.64,-0.11,-3.36,3.60,-2.11,-9.66,5.44,-14.87,-0.00,5.04,-3.08,-1.75,-7.08
1912,-5.45,0.62,1.15,-3.23,3.15,-2.56,-8.76,4.97,-14.46,-1.26,4.58,-3.84,-1.03,-5.55
